time,value
0:00:50.195000,0.406287
0:00:50.217000,0.406826
0:00:50.240000,0.407333
0:00:50.262000,0.404914
0:00:50.285000,0.404462
0:00:50.309000,0.408943
0:00:50.332000,0.405905
0:00:50.355000,0.405881
0:00:50.383000,0.406886
0:00:50.406000,0.405811
0:00:50.427000,0.406086
0:00:50.451000,0.406607
0:00:50.478000,0.406077
0:00:50.501000,0.406193
0:00:50.523000,0.404486
0:00:50.548000,0.404592
0:00:50.569000,0.404546
0:00:50.593000,0.405040
0:00:50.617000,0.405830
0:00:50.638000,0.405728
0:00:50.661000,0.407244
0:00:50.686000,0.406091
0:00:50.708000,0.406049
0:00:50.730000,0.405965
0:00:50.752000,0.406263
0:00:50.776000,0.404565
0:00:50.800000,0.404988
0:00:50.821000,0.404467
0:00:50.846000,0.406277
0:00:50.869000,0.408724
0:00:50.891000,0.407003
0:00:50.914000,0.406026
0:00:50.938000,0.405933
0:00:50.959000,0.406118
0:00:50.981000,0.405472
0:00:51.005000,0.405100
0:00:51.026000,0.404811
0:00:51.050000,0.403960
0:00:51.072000,0.406579
0:00:51.095000,0.405742
0:00:51.118000,0.406328
0:00:51.141000,0.406593
0:00:51.165000,0.406133
0:00:51.186000,0.406328
0:00:51.210000,0.405431
0:00:51.234000,0.405346
0:00:51.256000,0.405974
0:00:51.278000,0.406170
0:00:51.302000,0.405933
0:00:51.323000,0.406509
0:00:51.345000,0.405565
0:00:51.368000,0.405984
0:00:51.391000,0.406732
0:00:51.413000,0.405821
0:00:51.435000,0.406007
0:00:51.461000,0.405830
0:00:51.485000,0.406174
0:00:51.508000,0.405914
0:00:51.531000,0.405058
0:00:51.554000,0.406756
0:00:51.576000,0.404471
0:00:51.599000,0.405686
0:00:51.622000,0.405323
0:00:51.644000,0.406044
0:00:51.666000,0.406072
0:00:51.692000,0.406291
0:00:51.715000,0.405676
0:00:51.736000,0.406044
0:00:51.759000,0.404541
0:00:51.783000,0.404267
0:00:51.804000,0.405095
0:00:51.826000,0.404653
0:00:51.854000,0.406430
0:00:51.877000,0.406044
0:00:51.900000,0.405942
0:00:51.924000,0.406151
0:00:51.946000,0.404458
0:00:51.970000,0.404714
0:00:51.993000,0.404932
0:00:52.017000,0.404909
0:00:52.038000,0.405565
0:00:52.063000,0.405732
0:00:52.087000,0.407170
0:00:52.113000,0.406067
0:00:52.136000,0.405867
0:00:52.158000,0.406039
0:00:52.181000,0.406765
0:00:52.202000,0.406146
0:00:52.226000,0.405714
0:00:52.248000,0.405030
0:00:52.271000,0.406709
0:00:52.295000,0.404862
0:00:52.318000,0.404606
0:00:52.339000,0.407714
0:00:52.366000,0.406091
0:00:52.389000,0.405955
0:00:52.412000,0.406323
0:00:52.434000,0.404565
0:00:52.458000,0.404113
0:00:52.484000,0.404644
0:00:52.508000,0.406189
0:00:52.534000,0.405951
0:00:52.557000,0.406049
0:00:52.581000,0.407886
0:00:52.605000,0.406203
0:00:52.627000,0.404532
0:00:52.650000,0.403890
0:00:52.673000,0.409827
0:00:52.696000,0.406063
0:00:52.718000,0.406021
0:00:52.740000,0.407012
0:00:52.765000,0.406188
0:00:52.788000,0.406518
0:00:52.810000,0.405551
0:00:52.834000,0.406532
0:00:52.856000,0.405802
0:00:52.878000,0.404644
0:00:52.901000,0.404807
0:00:52.925000,0.405239
0:00:52.947000,0.406100
0:00:52.970000,0.405365
0:00:52.995000,0.405918
0:00:53.016000,0.406361
0:00:53.039000,0.405639
0:00:53.062000,0.406337
0:00:53.085000,0.406295
0:00:53.106000,0.406095
0:00:53.130000,0.406244
0:00:53.152000,0.406072
0:00:53.175000,0.406030
0:00:53.198000,0.406258
0:00:53.221000,0.406812
0:00:53.243000,0.406542
0:00:53.265000,0.406039
0:00:53.289000,0.404709
0:00:53.313000,0.405742
0:00:53.334000,0.405709
0:00:53.358000,0.405835
0:00:53.382000,0.406146
0:00:53.404000,0.405365
0:00:53.427000,0.406547
0:00:53.450000,0.404402
0:00:53.471000,0.404597
0:00:53.496000,0.405890
0:00:53.520000,0.406058
0:00:53.543000,0.406370
0:00:53.565000,0.406044
0:00:53.588000,0.404555
0:00:53.613000,0.404616
0:00:53.636000,0.404765
0:00:53.657000,0.405528
0:00:53.682000,0.406203
0:00:53.705000,0.406631
0:00:53.727000,0.406086
0:00:53.752000,0.406444
0:00:53.774000,0.405142
0:00:53.796000,0.404802
0:00:53.819000,0.404876
0:00:53.842000,0.406118
0:00:53.865000,0.405891
0:00:53.887000,0.406067
0:00:53.911000,0.405904
0:00:53.933000,0.406123
0:00:53.956000,0.404471
0:00:53.981000,0.405411
0:00:54.003000,0.404844
0:00:54.026000,0.404118
0:00:54.049000,0.406063
0:00:54.073000,0.406556
0:00:54.095000,0.405816
0:00:54.116000,0.433112
0:00:54.142000,0.405863
0:00:54.165000,0.406030
0:00:54.187000,0.407309
0:00:54.212000,0.405397
0:00:54.233000,0.403783
0:00:54.255000,0.404290
0:00:54.280000,0.406728
0:00:54.302000,0.407114
0:00:54.324000,0.406677
0:00:54.349000,0.406389
0:00:54.373000,0.406524
0:00:54.398000,0.404583
0:00:54.422000,0.406766
0:00:54.444000,0.404713
0:00:54.468000,0.404565
0:00:54.494000,0.406198
0:00:54.518000,0.405318
0:00:54.541000,0.406705
0:00:54.564000,0.406240
0:00:54.588000,0.406542
0:00:54.609000,0.405523
0:00:54.631000,0.406244
0:00:54.656000,0.406081
0:00:54.679000,0.405570
0:00:54.702000,0.405965
0:00:54.724000,0.406142
0:00:54.748000,0.406234
0:00:54.770000,0.407073
0:00:54.794000,0.406249
0:00:54.819000,0.406416
0:00:54.841000,0.404951
0:00:54.863000,0.404606
0:00:54.885000,0.404616
0:00:54.910000,0.405514
0:00:54.933000,0.406100
0:00:54.955000,0.406324
0:00:54.980000,0.406347
0:00:55.003000,0.406379
0:00:55.025000,0.403029
0:00:55.049000,0.404676
0:00:55.072000,0.404797
0:00:55.095000,0.405737
0:00:55.117000,0.406216
0:00:55.142000,0.406342
0:00:55.165000,0.406277
0:00:55.187000,0.406207
0:00:55.210000,0.407180
0:00:55.232000,0.405109
0:00:55.254000,0.405118
0:00:55.278000,0.405630
0:00:55.299000,0.406198
0:00:55.320000,0.406505
0:00:55.343000,0.405765
0:00:55.366000,0.405695
0:00:55.390000,0.406370
0:00:55.414000,0.404434
0:00:55.438000,0.404969
0:00:55.461000,0.404676
0:00:55.485000,0.406630
0:00:55.512000,0.406449
0:00:55.534000,0.406444
0:00:55.557000,0.406040
0:00:55.581000,0.406067
0:00:55.603000,0.406691
0:00:55.626000,0.405532
0:00:55.650000,0.405918
0:00:55.673000,0.405955
0:00:55.695000,0.405839
0:00:55.717000,0.406254
0:00:55.741000,0.424784
0:00:55.764000,0.405202
0:00:55.787000,0.405063
0:00:55.811000,0.403555
0:00:55.835000,0.406267
0:00:55.857000,0.405970
0:00:55.879000,0.406016
0:00:55.903000,0.407529
0:00:55.925000,0.406091
0:00:55.948000,0.406100
0:00:55.973000,0.405788
0:00:55.995000,0.406049
0:00:56.017000,0.406040
0:00:56.040000,0.407384
0:00:56.062000,0.405324
0:00:56.084000,0.406402
0:00:56.107000,0.406086
0:00:56.131000,0.405630
0:00:56.154000,0.405579
0:00:56.177000,0.404593
0:00:56.201000,0.412544
0:00:56.224000,0.421095
0:00:56.247000,0.413935
